Speiseplan KW 12;;;;;;;;;;;;
;Montag;;Dienstag;;Mittwoch;;;Donnerstag;;;Freitag;
;17.03.2014;;18.03.2014;;19.03.2014;;;20.03.2014;;;21.03.2014;
Suppe;Tagessuppe;;Tagessuppe;;Tagessuppe;;;Tagessuppe;;;Tagessuppe;
;;0,7;;0,7;;0,7;;;0,7;;;0,7
aus dem Ofen;;;;;;;;;;;;
;;;;;;;;;;;;
Die Traditionellen;Paniertes Schweineschnitzel, Champignonrahmsoße;;Riesenhamburger mit Tomate, Gurken und Salat (3);;Seelachsfilet in Chili-Marinade, Paprikasoße;;;"""Chop Suey"" mit Schweinefleisch, Gartengemüse & Sojasoße (2)";;;Spaghetti mit Carbonara-Soße und Brokkoli;
;;2,90 €;;3,80 €;;2,80 €;;;2,80 €;;;3,00 €
Wok, Grill, Pasta;"Schweinegeschnetzeltes ""Züricher Art""";;Schwäbisches Zwiebelfleisch;;Putensteak natur gebraten mit einem Tomaten-Mozzarella Topping;;;"Fitness Freak Burger ""Power Chicken"" (1)";;;"Rotbarschfilet ""Toskana"", Tomatensoße";
;;3,20 €;;3,20 €;;2,80 €;;;3,20 €;;;2,90 €
Die Vegetarischen;Nudel-Gemüsepfanne mit Rucolasahne-Soße;;Scharfes Paprika-Kartoffel-Curry mit einem Joghurt-Kräuter-Dip;;Tortelli mit Philadelphia Frischkäsesauce;;;Germknödel mit Pflaumenfüllung, dazu Soße mit Vanillegeschmack;;;Spinat-Kartoffel-Auflauf;
;;2,50 €;;2,50 €;;3,10 €;;;2,30 €;;;2,50 €
Gemüse & Co;"Kaisergemüse 
Bohnengemüse der Provence (3)";;"Speck-Rosenkohl (2, 3) 
Wok-Gemüse (2, 4)";;"Mediterraner Blattspinat (3) 
Rahmkohlrabi";;;"Rahmblumenkohl 
Erbsen und Möhren ""naturell""";;;"Glacierte Rainbow Carrots (1) 
Lauch-Curry-Gemüse";
;;0,70 €;;0,70 €;;0,70 €;;;0,70 €;;;0,70 €
Beilagen;"Tagliatelle 
Potato Wedges";;"Pommes frites 
Eierspätzle";;"Spaghetti 
Kräuterreis";;;"Pommes frites 
Gebratene Kartoffelgnocchi";;;"Thymiankartoffeln 
Langkornreis";
;;0,70 €;;0,70 €;;0,70 €;;;0,70 €;;;0,70 €
Salateria;Bitte bedienen Sie sich an unserem reichhaltigen Salatbüffet 100 gr EUR 0,70;;;;;;;;;;;
Genießer-Cup;Zitronencreme;;Vanille-Joghurt mit Himbeeen;;Ananas-Trauben-Speise;;;Himbeer-Amarettini-Joghurt;;;Milchreis mit Zucker & Zimt;
;;0,50 €;;0,50 €;;0,50 €;;;0,50 €;;;0,50 €
